open,high,low,close,tick_volume,spread,real_volume,ema_12,ema_26,macd,signal_line,adx,ichimoku_leading_span_a,ichimoku_leading_span_b
1.0768,1.07686,1.0762,1.07631,1080,0,0,1.07631,1.07631,0.0,0.0,0.0,,
1.07631,1.07723,1.0762,1.07713,1369,0,0,1.076436153846154,1.0763707407407408,6.541310541319234e-05,1.3082621082638469e-05,0.0,,
1.07718,1.0779,1.07661,1.07708,2131,0,0,1.0765352071005918,1.076423278463649,0.0001119286369428707,3.285182425468492e-05,0.0,,
1.07712,1.0776,1.07602,1.07621,2955,0,0,1.0764851752389624,1.076407480058934,7.769518002831433e-05,4.1820495409410804e-05,0.0,,
1.07619,1.07772,1.07602,1.07743,2229,0,0,1.0766305328945067,1.0764832222767908,0.00014731061771589005,6.291851987070665e-05,0.0,,
1.07743,1.0777,1.07603,1.07673,2345,0,0,1.076645835526121,1.0765015021081397,0.00014433341798136823,7.920149949283897e-05,0.0,,
1.07672,1.0775,1.07656,1.07673,1829,0,0,1.0766587839067179,1.0765184278779072,0.0001403560288106842,9.143240535640801e-05,0.0,,
1.07674,1.07694,1.07577,1.07577,1809,0,0,1.0765220479210689,1.07646298877584,5.9059145228967935e-05,8.495775333092e-05,0.0,,
1.07577,1.07673,1.07347,1.07474,4935,0,0,1.0762478867024428,1.0763353599776295,-8.747327518676684e-05,5.0471547627382635e-05,0.0,,
1.0748,1.0771,1.07404,1.07422,4647,0,0,1.0759359041328362,1.0761786666459532,-0.0002427625131169453,-8.175264521482953e-06,0.0,,
1.07426,1.07498,1.07213,1.07234,4462,0,0,1.0753826881123998,1.075894320968475,-0.0005116328560752503,-0.00010886678283223644,0.0,,
1.07235,1.07298,1.07176,1.07232,2768,0,0,1.0749115053258766,1.0756295564522917,-0.0007180511264150979,-0.00023070365154880876,0.0,,
1.07232,1.07236,1.07086,1.07101,1846,0,0,1.0743112737372802,1.0752873670854552,-0.0009760933481750556,-0.00037978159087405817,0.0,,
1.07102,1.07158,1.07075,1.07102,1662,0,0,1.0738049239315448,1.074971265819866,-0.0011663418883212096,-0.0005370936503634885,0.0,,
1.07102,1.07153,1.07058,1.07124,1707,0,0,1.0734103202497687,1.0746948757591352,-0.0012845555093665695,-0.0006865860221641047,0.0,,
1.07124,1.07144,1.07065,1.07079,1123,0,0,1.0730071940574966,1.074405625702903,-0.0013984316454065393,-0.0008289551468125917,0.0,,
1.07079,1.07087,1.07054,1.07073,579,0,0,1.0726568565101893,1.0741333571323177,-0.0014765006221284516,-0.0009584642418757638,0.0,,
1.0711,1.0711,1.07053,1.07064,223,14,0,1.0723465708932371,1.0738745899373312,-0.0015280190440940533,-0.0010723752023194218,0.0,,
1.07082,1.07083,1.07011,1.07011,769,0,0,1.0720024830635084,1.0735957314234548,-0.001593248359946342,-0.001176549833844806,0.0,,
1.07011,1.07018,1.06937,1.06968,1158,0,0,1.0716451779768148,1.0733056772439395,-0.0016604992671247487,-0.0012733397205007945,0.0,,
1.06969,1.06972,1.06904,1.06938,1614,0,0,1.0712966890573048,1.073014886336981,-0.001718197279676259,-0.0013623112323358875,0.0,,
1.06939,1.07016,1.06909,1.07014,2107,0,0,1.0711187368946424,1.072801931793501,-0.0016831948988584866,-0.0014264879656404074,0.0,,
1.07014,1.07047,1.06986,1.07003,1282,0,0,1.0709512389108513,1.0725966035125007,-0.001645364601649435,-0.001470263292842213,0.0,,
1.07002,1.07042,1.06993,1.07027,1196,0,0,1.0708464329245666,1.0724242625115747,-0.0015778295870081394,-0.0014917765516753983,0.0,,
1.07024,1.07033,1.06966,1.07,983,0,0,1.0707162124746332,1.0722446875107174,-0.0015284750360842203,-0.0014991162485571627,0.0,,
1.06999,1.07038,1.0694,1.07014,1508,0,0,1.0706275644016128,1.0720887847321459,-0.0014612203305330862,-0.0014915370649523476,0.0,1.07177,
1.07012,1.07012,1.06893,1.06938,2273,0,0,1.0704356314167494,1.071888134011246,-0.0014525025944966963,-0.0014837301708612175,0.0,1.0716475,
1.06938,1.06994,1.06834,1.06899,3180,0,0,1.0702132265834032,1.0716734574178204,-0.0014602308344171533,-0.0014790303035724047,59.66761742734044,1.0712625,
1.06898,1.06978,1.06854,1.0696,2138,0,0,1.0701188840321105,1.0715198679794633,-0.001400983947352774,-0.0014634210323284788,59.82984243682821,1.0712175000000002,
1.0696,1.06992,1.06901,1.06922,1912,0,0,1.0699805941810165,1.0713495073883919,-0.0013689132073753107,-0.001444519467337845,59.68761910775641,1.0712175000000002,
1.06923,1.06949,1.06869,1.06929,1490,0,0,1.0698743489223985,1.0711969512855481,-0.0013226023631496275,-0.0014201360465002017,59.732229356701986,1.0712125000000001,
1.06929,1.0695,1.0685,1.06897,1346,0,0,1.0697352183189526,1.0710319919310631,-0.0012967736121105577,-0.001395463559622273,59.876150610716216,1.0711499999999998,
1.06897,1.06917,1.06746,1.06791,2543,0,0,1.0694544155006522,1.0708007332695029,-0.0013463177688506356,-0.0013856344014679454,60.48983036906219,1.0706000000000002,
1.06789,1.06914,1.06778,1.0681,2997,0,0,1.0692460438851672,1.0706006789532434,-0.0013546350680762043,-0.0013794345347895973,61.05967585895489,1.0706000000000002,
1.06806,1.07223,1.06806,1.07108,5466,0,0,1.069528190979757,1.0706361842159662,-0.0011079932362092482,-0.0013251462750735275,57.05104434236771,1.0710625,
1.07107,1.07208,1.07032,1.07207,2369,0,0,1.0699192385213327,1.0707423927925612,-0.0008231542712284767,-0.0012247478743045172,53.3287436483939,1.0705325,
