time,open,high,low,close,tick_volume,spread,real_volume
2023-06-02 07:00:00,1.0768,1.07686,1.0762,1.07631,1080,0,0
2023-06-02 08:00:00,1.07631,1.07723,1.0762,1.07713,1369,0,0
2023-06-02 09:00:00,1.07718,1.0779,1.07661,1.07708,2131,0,0
2023-06-02 10:00:00,1.07712,1.0776,1.07602,1.07621,2955,0,0
2023-06-02 11:00:00,1.07619,1.07772,1.07602,1.07743,2229,0,0
2023-06-02 12:00:00,1.07743,1.0777,1.07603,1.07673,2345,0,0
2023-06-02 13:00:00,1.07672,1.0775,1.07656,1.07673,1829,0,0
2023-06-02 14:00:00,1.07674,1.07694,1.07577,1.07577,1809,0,0
2023-06-02 15:00:00,1.07577,1.07673,1.07347,1.07474,4935,0,0
2023-06-02 16:00:00,1.0748,1.0771,1.07404,1.07422,4647,0,0
2023-06-02 17:00:00,1.07426,1.07498,1.07213,1.07234,4462,0,0
2023-06-02 18:00:00,1.07235,1.07298,1.07176,1.07232,2768,0,0
2023-06-02 19:00:00,1.07232,1.07236,1.07086,1.07101,1846,0,0
2023-06-02 20:00:00,1.07102,1.07158,1.07075,1.07102,1662,0,0
2023-06-02 21:00:00,1.07102,1.07153,1.07058,1.07124,1707,0,0
2023-06-02 22:00:00,1.07124,1.07144,1.07065,1.07079,1123,0,0
2023-06-02 23:00:00,1.07079,1.07087,1.07054,1.07073,579,0,0
2023-06-05 00:00:00,1.0711,1.0711,1.07053,1.07064,223,14,0
2023-06-05 01:00:00,1.0708199999999999,1.07083,1.0701100000000001,1.0701100000000001,769,0,0
2023-06-05 02:00:00,1.0701100000000001,1.07018,1.06937,1.06968,1158,0,0
2023-06-05 03:00:00,1.06969,1.06972,1.06904,1.06938,1614,0,0
2023-06-05 04:00:00,1.06939,1.07016,1.06909,1.07014,2107,0,0
2023-06-05 05:00:00,1.07014,1.07047,1.06986,1.07003,1282,0,0
2023-06-05 06:00:00,1.07002,1.07042,1.06993,1.07027,1196,0,0
2023-06-05 07:00:00,1.07024,1.07033,1.06966,1.07,983,0,0
2023-06-05 08:00:00,1.06999,1.07038,1.0694,1.07014,1508,0,0
2023-06-05 09:00:00,1.07012,1.07012,1.06893,1.06938,2273,0,0
2023-06-05 10:00:00,1.06938,1.06994,1.06834,1.0689899999999999,3180,0,0
2023-06-05 11:00:00,1.06898,1.06978,1.06854,1.0695999999999999,2138,0,0
2023-06-05 12:00:00,1.0695999999999999,1.06992,1.06901,1.06922,1912,0,0
2023-06-05 13:00:00,1.06923,1.06949,1.06869,1.06929,1490,0,0
2023-06-05 14:00:00,1.06929,1.0695000000000001,1.0685,1.06897,1346,0,0
2023-06-05 15:00:00,1.06897,1.06917,1.06746,1.06791,2543,0,0
2023-06-05 16:00:00,1.06789,1.06914,1.06778,1.0681,2997,0,0
2023-06-05 17:00:00,1.06806,1.07223,1.06806,1.07108,5466,0,0
2023-06-05 18:00:00,1.07107,1.07208,1.07032,1.07207,2369,0,0
2023-06-05 19:00:00,1.07206,1.07213,1.071,1.07116,1552,0,0
2023-06-05 20:00:00,1.07115,1.07141,1.07075,1.0713,1166,0,0
2023-06-05 21:00:00,1.0713,1.07173,1.0711,1.07138,1503,0,0
2023-06-05 22:00:00,1.07138,1.07175,1.07113,1.07125,1629,0,0
2023-06-05 23:00:00,1.0713,1.07134,1.07097,1.07122,548,0,0
2023-06-06 00:00:00,1.07118,1.07136,1.0709,1.07116,335,5,0
2023-06-06 01:00:00,1.07132,1.07145,1.07096,1.07136,634,0,0
2023-06-06 02:00:00,1.0713300000000001,1.07144,1.07076,1.07115,823,0,0
2023-06-06 03:00:00,1.07115,1.0717,1.071,1.07162,856,0,0
2023-06-06 04:00:00,1.07162,1.0717,1.07129,1.07157,1394,0,0
2023-06-06 05:00:00,1.07158,1.07248,1.07156,1.07184,1580,0,0
2023-06-06 06:00:00,1.07185,1.0719400000000001,1.07145,1.0716,873,0,0
2023-06-06 07:00:00,1.07161,1.07242,1.07152,1.07234,1696,0,0
2023-06-06 08:00:00,1.07235,1.07314,1.07227,1.0725,1675,0,0
2023-06-06 09:00:00,1.07251,1.07328,1.07214,1.07241,2637,0,0
2023-06-06 10:00:00,1.07244,1.07272,1.07074,1.07146,3581,0,0
2023-06-06 11:00:00,1.07148,1.0715,1.06952,1.06994,3330,0,0
2023-06-06 12:00:00,1.06994,1.07012,1.06894,1.06922,2128,0,0
2023-06-06 13:00:00,1.06922,1.06996,1.06826,1.06978,2089,0,0
2023-06-06 14:00:00,1.06978,1.07003,1.06763,1.06769,2013,0,0
2023-06-06 15:00:00,1.06769,1.06839,1.0667,1.06707,2745,0,0
2023-06-06 16:00:00,1.06706,1.06829,1.06693,1.06726,2978,0,0
2023-06-06 17:00:00,1.06725,1.06912,1.0671,1.06908,3035,0,0
2023-06-06 18:00:00,1.06907,1.06969,1.06847,1.06945,2527,0,0
2023-06-06 19:00:00,1.06944,1.06978,1.06874,1.06884,1652,0,0
2023-06-06 20:00:00,1.06885,1.06886,1.06823,1.06858,1186,0,0
2023-06-06 21:00:00,1.06859,1.06963,1.06848,1.0694,1125,0,0
2023-06-06 22:00:00,1.06941,1.06961,1.06904,1.06919,1081,0,0
2023-06-06 23:00:00,1.06922,1.06933,1.06903,1.06924,641,0,0
2023-06-07 00:00:00,1.06923,1.06945,1.06895,1.06941,140,2,0
2023-06-07 01:00:00,1.06938,1.06953,1.06936,1.0695000000000001,272,0,0
2023-06-07 02:00:00,1.06948,1.06991,1.06924,1.06988,657,0,0
2023-06-07 03:00:00,1.06988,1.07044,1.06975,1.07004,1343,0,0
2023-06-07 04:00:00,1.07005,1.07013,1.0693,1.06964,1741,0,0
2023-06-07 05:00:00,1.06965,1.06967,1.06888,1.0693,1379,0,0
2023-06-07 06:00:00,1.0693,1.06937,1.06896,1.06929,1422,0,0
2023-06-07 07:00:00,1.06928,1.06956,1.06893,1.06905,857,0,0
2023-06-07 08:00:00,1.06904,1.06905,1.06834,1.06851,1305,0,0
2023-06-07 09:00:00,1.06848,1.06862,1.06729,1.06766,2276,0,0
2023-06-07 10:00:00,1.06765,1.06865,1.06683,1.06843,2587,0,0
2023-06-07 11:00:00,1.06842,1.06934,1.06792,1.0693,2068,0,0
2023-06-07 12:00:00,1.06935,1.06977,1.06901,1.06962,2290,0,0
2023-06-07 13:00:00,1.06964,1.07186,1.06963,1.0715,2043,0,0
2023-06-07 14:00:00,1.0715,1.0723,1.0713,1.07156,2173,0,0
2023-06-07 15:00:00,1.07154,1.0718,1.07053,1.07162,2376,0,0
2023-06-07 16:00:00,1.0716,1.07388,1.07141,1.07371,2995,0,0
2023-06-07 17:00:00,1.07372,1.07397,1.07031,1.07078,5144,0,0
2023-06-07 18:00:00,1.07078,1.07106,1.06951,1.07014,2880,0,0
2023-06-07 19:00:00,1.07012,1.07066,1.06928,1.06932,2149,0,0
2023-06-07 20:00:00,1.06932,1.06996,1.0691,1.06989,2087,0,0
2023-06-07 21:00:00,1.06988,1.07034,1.06974,1.07024,1525,0,0
2023-06-07 22:00:00,1.07025,1.07053,1.06936,1.06937,1621,0,0
2023-06-07 23:00:00,1.06942,1.07,1.06938,1.0699,811,0,0
2023-06-08 00:00:00,1.06974,1.06988,1.0693,1.06984,185,3,0
2023-06-08 01:00:00,1.06988,1.07016,1.06976,1.06995,772,0,0
2023-06-08 02:00:00,1.06995,1.07073,1.06967,1.0707,838,0,0
2023-06-08 03:00:00,1.07074,1.07101,1.07063,1.07086,1275,0,0
2023-06-08 04:00:00,1.07085,1.07102,1.0703,1.07088,1845,0,0
2023-06-08 05:00:00,1.07089,1.07116,1.07065,1.07068,1426,0,0
2023-06-08 06:00:00,1.07066,1.07109,1.0706,1.07084,1119,0,0
2023-06-08 07:00:00,1.07084,1.07136,1.07056,1.07116,1188,0,0
2023-06-08 08:00:00,1.07116,1.07174,1.07091,1.07103,1531,0,0
2023-06-08 09:00:00,1.07102,1.07191,1.07076,1.07112,2099,0,0
2023-06-08 10:00:00,1.07112,1.07131,1.0701100000000001,1.07131,2751,0,0
2023-06-08 11:00:00,1.07131,1.07302,1.07099,1.07266,2475,0,0
2023-06-08 12:00:00,1.0727,1.07338,1.0721,1.07289,2398,0,0
2023-06-08 13:00:00,1.07292,1.0733,1.07262,1.073,1395,0,0
2023-06-08 14:00:00,1.07296,1.0739,1.07239,1.07358,1996,0,0
2023-06-08 15:00:00,1.07358,1.07589,1.07334,1.07471,4079,0,0
2023-06-08 16:00:00,1.07469,1.07692,1.0742099999999999,1.07656,4067,0,0
2023-06-08 17:00:00,1.07656,1.07759,1.07618,1.07693,3649,0,0
2023-06-08 18:00:00,1.07694,1.07835,1.07672,1.07788,2714,0,0
2023-06-08 19:00:00,1.07788,1.07871,1.07772,1.0784799999999999,2205,0,0
2023-06-08 20:00:00,1.07845,1.07858,1.07778,1.07781,1583,0,0
2023-06-08 21:00:00,1.07782,1.07826,1.07779,1.07792,1592,0,0
2023-06-08 22:00:00,1.07793,1.07799,1.07737,1.07791,1374,0,0
2023-06-08 23:00:00,1.0779,1.07832,1.07789,1.07832,603,0,0
2023-06-09 00:00:00,1.07805,1.07843,1.07789,1.07817,309,5,0
2023-06-09 01:00:00,1.07828,1.07844,1.07816,1.07839,528,0,0
2023-06-09 02:00:00,1.0784,1.07852,1.07818,1.07819,828,0,0
2023-06-09 03:00:00,1.07823,1.07851,1.07814,1.07821,1370,0,0
2023-06-09 04:00:00,1.07821,1.0785,1.07798,1.07807,1721,0,0
2023-06-09 05:00:00,1.07808,1.07809,1.07758,1.07769,1223,0,0
2023-06-09 06:00:00,1.07768,1.07802,1.07766,1.07778,954,0,0
2023-06-09 07:00:00,1.0777700000000001,1.07786,1.07747,1.07753,820,0,0
2023-06-09 08:00:00,1.07753,1.0784,1.07752,1.0778,1224,0,0
2023-06-09 09:00:00,1.07786,1.07822,1.0772599999999999,1.07788,2193,0,0
2023-06-09 10:00:00,1.0778699999999999,1.07797,1.07676,1.07756,2879,0,0
2023-06-09 11:00:00,1.07755,1.07758,1.07594,1.07634,2556,0,0
2023-06-09 12:00:00,1.07635,1.07683,1.07582,1.07586,1956,0,0
2023-06-09 13:00:00,1.07587,1.07628,1.07566,1.07613,1891,0,0
2023-06-09 14:00:00,1.07613,1.07817,1.07602,1.07733,2022,0,0
2023-06-09 15:00:00,1.07733,1.0784,1.07635,1.0767,3383,0,0
2023-06-09 16:00:00,1.0767,1.07752,1.07615,1.0771,3237,0,0
2023-06-09 17:00:00,1.07709,1.07733,1.07538,1.07568,3266,0,0
2023-06-09 18:00:00,1.07568,1.07598,1.07468,1.0748,2563,0,0
2023-06-09 19:00:00,1.07475,1.07525,1.07435,1.07483,1663,0,0
2023-06-09 20:00:00,1.0748199999999999,1.07523,1.07463,1.07486,1224,0,0
2023-06-09 21:00:00,1.07488,1.07508,1.0746,1.07498,1070,0,0
2023-06-09 22:00:00,1.07498,1.0751,1.0743,1.07442,1075,0,0
2023-06-09 23:00:00,1.0744,1.0749900000000001,1.0744,1.07491,767,0,0
2023-06-12 00:00:00,1.07462,1.07485,1.0745,1.0745,308,2,0
2023-06-12 01:00:00,1.07458,1.07493,1.07432,1.0745,591,0,0
2023-06-12 02:00:00,1.07449,1.07516,1.07439,1.075,609,0,0
2023-06-12 03:00:00,1.07502,1.07506,1.07444,1.07456,919,0,0
2023-06-12 04:00:00,1.07452,1.0746,1.07362,1.07369,1485,0,0
2023-06-12 05:00:00,1.07369,1.07386,1.07331,1.07386,1269,0,0
2023-06-12 06:00:00,1.07382,1.07415,1.07364,1.07409,962,0,0
2023-06-12 07:00:00,1.07408,1.07444,1.07391,1.0741,1006,0,0
2023-06-12 08:00:00,1.0741,1.07504,1.07406,1.07492,1437,0,0
2023-06-12 09:00:00,1.07494,1.07536,1.07456,1.07491,1604,0,0
2023-06-12 10:00:00,1.07486,1.07724,1.07442,1.07696,2686,0,0
2023-06-12 11:00:00,1.07696,1.0784,1.07679,1.07771,2815,0,0
2023-06-12 12:00:00,1.07771,1.07901,1.07746,1.07854,2323,0,0
2023-06-12 13:00:00,1.07855,1.07876,1.07676,1.07728,2257,0,0
2023-06-12 14:00:00,1.07727,1.07757,1.07614,1.07629,1839,0,0
2023-06-12 15:00:00,1.07628,1.07714,1.07606,1.07663,2382,0,0
2023-06-12 16:00:00,1.07662,1.0771600000000001,1.07431,1.07532,3104,0,0
2023-06-12 17:00:00,1.07532,1.07616,1.07451,1.07471,3272,0,0
2023-06-12 18:00:00,1.07472,1.07568,1.07446,1.07461,2541,0,0
2023-06-12 19:00:00,1.0746,1.07518,1.0743800000000001,1.07486,1685,0,0
2023-06-12 20:00:00,1.07487,1.07542,1.0745,1.07536,1520,0,0
2023-06-12 21:00:00,1.07536,1.07592,1.07504,1.0756000000000001,1282,0,0
2023-06-12 22:00:00,1.07562,1.07634,1.07561,1.07602,1293,0,0
2023-06-12 23:00:00,1.0760399999999999,1.0760399999999999,1.07577,1.07578,622,0,0
2023-06-13 00:00:00,1.07545,1.07574,1.07529,1.07566,212,8,0
2023-06-13 01:00:00,1.07565,1.07614,1.07565,1.07602,552,0,0
2023-06-13 02:00:00,1.076,1.07644,1.07594,1.07622,858,0,0
2023-06-13 03:00:00,1.07623,1.07668,1.07596,1.0760399999999999,1087,0,0
2023-06-13 04:00:00,1.07606,1.07684,1.07596,1.07676,1740,0,0
2023-06-13 05:00:00,1.07677,1.07756,1.07661,1.07744,1220,0,0
2023-06-13 06:00:00,1.07744,1.078,1.07742,1.0779,1252,0,0
2023-06-13 07:00:00,1.0779,1.07831,1.07762,1.07821,871,0,0
2023-06-13 08:00:00,1.07821,1.07961,1.07815,1.07826,1949,0,0
2023-06-13 09:00:00,1.07832,1.07981,1.07816,1.0793,3071,0,0
2023-06-13 10:00:00,1.07926,1.08075,1.07925,1.07997,3136,0,0
2023-06-13 11:00:00,1.07997,1.0808200000000001,1.07941,1.08074,2326,0,0
2023-06-13 12:00:00,1.08075,1.08106,1.08006,1.08058,2275,0,0
2023-06-13 13:00:00,1.08058,1.08068,1.07953,1.07987,1808,0,0
2023-06-13 14:00:00,1.07988,1.07989,1.0792,1.07942,1938,0,0
2023-06-13 15:00:00,1.07943,1.08236,1.07821,1.08142,5166,0,0
2023-06-13 16:00:00,1.08142,1.0818,1.07922,1.07939,4793,0,0
2023-06-13 17:00:00,1.0794,1.08078,1.07782,1.08019,4298,0,0
2023-06-13 18:00:00,1.0802,1.0809,1.07862,1.07912,3275,0,0
2023-06-13 19:00:00,1.07912,1.08038,1.07902,1.08022,2241,0,0
2023-06-13 20:00:00,1.08024,1.08042,1.07868,1.0789,1935,0,0
2023-06-13 21:00:00,1.07889,1.07908,1.0783,1.07902,1990,0,0
2023-06-13 22:00:00,1.07901,1.07958,1.07847,1.07918,1609,0,0
2023-06-13 23:00:00,1.07918,1.07933,1.07905,1.0793,660,0,0
2023-06-14 00:00:00,1.07934,1.07946,1.07887,1.07894,364,2,0
2023-06-14 01:00:00,1.07894,1.07922,1.07883,1.07916,779,0,0
2023-06-14 02:00:00,1.07916,1.07921,1.07882,1.07896,650,0,0
2023-06-14 03:00:00,1.07898,1.0793,1.07857,1.07902,1359,0,0
2023-06-14 04:00:00,1.07901,1.0795,1.07882,1.07939,1426,0,0
2023-06-14 05:00:00,1.07939,1.07962,1.07904,1.0796000000000001,1172,0,0
2023-06-14 06:00:00,1.07959,1.0796000000000001,1.07886,1.07898,1046,0,0
2023-06-14 07:00:00,1.079,1.07919,1.07847,1.07896,985,0,0
2023-06-14 08:00:00,1.07896,1.07906,1.07741,1.07761,1606,0,0
